Heatmap Analyse – Bewegungsanalyse
======================================================================
Mass-Heatmaps: 500
Charge-Heatmaps: 500

Bewegungsanalyse der Massen-Hotspots
======================================================================
  Iteration 3660: 1 Hotspots
  Iteration 3670: 1 Hotspots
  Iteration 3680: 1 Hotspots
  Iteration 3690: 1 Hotspots
  Iteration 3700: 1 Hotspots
  Iteration 3710: 1 Hotspots
  Iteration 3720: 1 Hotspots
  Iteration 3730: 1 Hotspots
  Iteration 3740: 1 Hotspots
  Iteration 3750: 1 Hotspots
  Iteration 3760: 1 Hotspots
  Iteration 3770: 1 Hotspots
  Iteration 3780: 1 Hotspots
  Iteration 3790: 1 Hotspots
  Iteration 3800: 1 Hotspots
  Iteration 3810: 1 Hotspots
  Iteration 3820: 1 Hotspots
  Iteration 3830: 1 Hotspots
  Iteration 3840: 1 Hotspots
  Iteration 3850: 1 Hotspots
  Iteration 3860: 1 Hotspots
  Iteration 3870: 1 Hotspots
  Iteration 3880: 1 Hotspots
  Iteration 3890: 1 Hotspots
  Iteration 3900: 1 Hotspots
  Iteration 3910: 1 Hotspots
  Iteration 3920: 1 Hotspots
  Iteration 3930: 1 Hotspots
  Iteration 3940: 1 Hotspots
  Iteration 3950: 1 Hotspots
  Iteration 3960: 1 Hotspots
  Iteration 3970: 1 Hotspots
  Iteration 3980: 1 Hotspots
  Iteration 3990: 1 Hotspots
  Iteration 4000: 1 Hotspots
  Iteration 4010: 1 Hotspots
  Iteration 4020: 1 Hotspots
  Iteration 4030: 1 Hotspots
  Iteration 4040: 1 Hotspots
  Iteration 4050: 1 Hotspots
  Iteration 4060: 1 Hotspots
  Iteration 4070: 1 Hotspots
  Iteration 4080: 1 Hotspots
  Iteration 4090: 1 Hotspots
  Iteration 4100: 1 Hotspots
  Iteration 4110: 1 Hotspots
  Iteration 4120: 1 Hotspots
  Iteration 4130: 1 Hotspots
  Iteration 4140: 1 Hotspots
  Iteration 4150: 1 Hotspots
  Iteration 4160: 1 Hotspots
  Iteration 4170: 1 Hotspots
  Iteration 4180: 1 Hotspots
  Iteration 4190: 1 Hotspots
  Iteration 4200: 1 Hotspots
  Iteration 4210: 1 Hotspots
  Iteration 4220: 1 Hotspots
  Iteration 4230: 1 Hotspots
  Iteration 4240: 1 Hotspots
  Iteration 4250: 1 Hotspots
  Iteration 4260: 1 Hotspots
  Iteration 4270: 1 Hotspots
  Iteration 4280: 1 Hotspots
  Iteration 4290: 1 Hotspots
  Iteration 4300: 1 Hotspots
  Iteration 4310: 1 Hotspots
  Iteration 4320: 1 Hotspots
  Iteration 4330: 1 Hotspots
  Iteration 4340: 1 Hotspots
  Iteration 4350: 1 Hotspots
  Iteration 4360: 1 Hotspots
  Iteration 4370: 1 Hotspots
  Iteration 4380: 1 Hotspots
  Iteration 4390: 1 Hotspots
  Iteration 4400: 1 Hotspots
  Iteration 4410: 1 Hotspots
  Iteration 4420: 1 Hotspots
  Iteration 4430: 1 Hotspots
  Iteration 4440: 1 Hotspots
  Iteration 4450: 1 Hotspots
  Iteration 4460: 1 Hotspots
  Iteration 4470: 1 Hotspots
  Iteration 4480: 1 Hotspots
  Iteration 4490: 1 Hotspots
  Iteration 4500: 1 Hotspots
  Iteration 4510: 1 Hotspots
  Iteration 4520: 1 Hotspots
  Iteration 4530: 1 Hotspots
  Iteration 4540: 1 Hotspots
  Iteration 4550: 1 Hotspots
  Iteration 4560: 1 Hotspots
  Iteration 4570: 1 Hotspots
  Iteration 4580: 1 Hotspots
  Iteration 4590: 1 Hotspots
  Iteration 4600: 1 Hotspots
  Iteration 4610: 1 Hotspots
  Iteration 4620: 1 Hotspots
  Iteration 4630: 1 Hotspots
  Iteration 4640: 1 Hotspots
  Iteration 4650: 1 Hotspots
  Iteration 4660: 1 Hotspots
  Iteration 4670: 1 Hotspots
  Iteration 4680: 1 Hotspots
  Iteration 4690: 1 Hotspots
  Iteration 4700: 1 Hotspots
  Iteration 4710: 1 Hotspots
  Iteration 4720: 1 Hotspots
  Iteration 4730: 1 Hotspots
  Iteration 4740: 1 Hotspots
  Iteration 4750: 1 Hotspots
  Iteration 4760: 1 Hotspots
  Iteration 4770: 1 Hotspots
  Iteration 4780: 1 Hotspots
  Iteration 4790: 1 Hotspots
  Iteration 4800: 1 Hotspots
  Iteration 4810: 1 Hotspots
  Iteration 4820: 1 Hotspots
  Iteration 4830: 1 Hotspots
  Iteration 4840: 1 Hotspots
  Iteration 4850: 1 Hotspots
  Iteration 4860: 1 Hotspots
  Iteration 4870: 1 Hotspots
  Iteration 4880: 1 Hotspots
  Iteration 4890: 1 Hotspots
  Iteration 4900: 1 Hotspots
  Iteration 4910: 1 Hotspots
  Iteration 4920: 1 Hotspots
  Iteration 4930: 1 Hotspots
  Iteration 4940: 1 Hotspots
  Iteration 4950: 1 Hotspots
  Iteration 4960: 1 Hotspots
  Iteration 4970: 1 Hotspots
  Iteration 4980: 1 Hotspots
  Iteration 4990: 1 Hotspots

======================================================================
Statistik:
  Anzahl Bilder: 500
  Iterationen: 0 - 4990
  Hotspots pro Bild: 1.48 (±1.76)

Bewegung der Hotspots (Änderung der Position pro Iteration):
  Mittlere Bewegung pro Iteration: 2.45 Pixel
  Std der Bewegung: 7.07 Pixel
  Bewegungstrend: -0.0231 Pixel/Iteration (positiv = driftet auseinander)

Hotspot-Kontinuität (Verfolgung über 10 Iterationen):
  Hotspots in ersten 10 Bildern: 59
  Hotspots in letzten 10 Bildern: 1
  Überlappung: 1
  Stabilität (Überlappung / erste 10): 1.7%
